name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,county,office,latitude,longitude,warden,capacity,gender,phone,fax,chaplain_phone,warden_email,general_email,contact_name,recruiter_email,contact_phone,hours,programs
Wakulla Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/118,110 Melaleuca Drive,Crawfordville,FL,32327-4963,Wakulla,Region 1,30.2618984,-84.1764832,Gary Hewett,,Male,(850) 410-1895,,(850) 413-7236,gary.hewett@fdc.myflorida.com,WakullaCI@fdc.myflorida.com,Lakrisha Delong,Lakrisha.Delong@fdc.myflorida.com,(850) 617-0711,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Adult Literacy; Academic: College Correspondence Courses; Academic: English as a Second Language (ESL); Academic: General Education Development (GED); Academic: TSC Literacy for Life; Academic: Wellness Education; Vocational: Persevere; Vocational: Power Equipment Technology; Chaplaincy: A.A. Substance Abuse Program; Chaplaincy: Apostolic Bible Study; Chaplaincy: At the Altar of Sexual Idolatry; Chaplaincy: Catholic Study; Chaplaincy: Chapel Library; Chaplaincy: Christian Apologetics; Chaplaincy: Discipleship; Chaplaincy: Episcopal Services; Chaplaincy: Hebrew-Israelite; Chaplaincy: Jehovah Witness Study (Bilingual); Chaplaincy: Jewish Sabbath; Chaplaincy: Jewish Holy Days; Chaplaincy: Jummah Service; Chaplaincy: Kairos Weekends/Reunions; Chaplaincy: Meditation; Chaplaincy: Mentoring; Chaplaincy: Miami International Theological Seminary (MINTS); Chaplaincy: Mormon LDS Study; Chaplaincy: Music Facilitators; Chaplaincy: Muslim Taaleem; Chaplaincy: Native American Prayer; Chaplaincy: Odinist Study; Chaplaincy: Purpose Driven Life; Chaplaincy: Ramadan (Muslim); Chaplaincy: Rumbley Bible/Book Study; Chaplaincy: Seventh Day Adventist; Chaplaincy: Spanish Service; Chaplaincy: Spiritual Advisor Visits; Chaplaincy: Vital Truth Bible Study
Walton Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/108,691 Institution Road De Funiak,Springs,FL,32433-1831,Walton,Region 1,30.7786203,-86.1026455,Tony Knight,,Male,(850) 951-1300,(850) 951-1750,(850) 951-1440,tony.knight@fdc.myflorida.com,WaltonCI.WardenOffice@fdc.myflorida.com,Kylia Stapp,Kylia.Wallace@fdc.myflorida.com,(850) 951-6413,8:00 a.m. - 2:00 p.m. CST,"Academic: Academic Technology Learning Online (ATLO); Academic: Adult Basic Education; Academic: General Educational Development (GED); Vocational: Heating, Air Conditioning and Ventilation; Vocational: Residential Carpentry/Cabinetmaking; Vocational: Work Force Development; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Anger Management; Chaplaincy: Bilingual Worship Service; Chaplaincy: Catholic Study; Chaplaincy: Chapel Library Program; Chaplaincy: Chapel Music Program; Chaplaincy: Discipleship; Chaplaincy: Faith & Character Based Program; Chaplaincy: Global Leadership Summit; Chaplaincy: Hebrew-Israelite Studies; Chaplaincy: Holy Day Observation Program; Chaplaincy: Jehovah Witness Study; Chaplaincy: Jewish Sabbath; Chaplaincy: Jummah Service; Chaplaincy: Meditation; Chaplaincy: Mentoring; Chaplaincy: Messianic Studies; Chaplaincy: Narcotics Anonymous; Chaplaincy: Religious Education; Chaplaincy: Religious Volunteer Program; Chaplaincy: Special Events; Chaplaincy: Spiritual Advisor Visit Program; Chaplaincy: Worship Services"
Wakulla Correctional Institution Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/122,110 Melaleuca Drive,Crawfordville,FL,32327-4963,Wakulla,Region 1,30.2618984,-84.1764832,Gary Hewett,,Male,(850) 410-1895,(850) 414-5644,(850) 617-0775,gary.hewett@fdc.myflorida.com,WakullaCI@fdc.myflorida.com,Lakrisha Delong,Lakrisha.Delong@fdc.myflorida.com,(850) 617-0711,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Adult Literacy; Academic: English as a Second Language (ESL); Academic: General Educational Development (GED); Academic: Wellness Education; Chaplaincy: A.A. Substance Abuse Program; Chaplaincy: Bible Study (non-Denominational); Chaplaincy: Catholic Studies; Chaplaincy: Catholic Worship Services; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library; Chaplaincy: Christian Worship Services; Chaplaincy: Discipleship Class; Chaplaincy: Global Leadership Summit; Chaplaincy: Harvest of Life; Chaplaincy: Jewish Sabbath; Chaplaincy: Jummah; Chaplaincy: Malachi Dads; Chaplaincy: Messianic Jewish Sabbath; Chaplaincy: Messianic Jewish Study; Chaplaincy: Miami International Theological Seminary (MINTS); Chaplaincy: Praise Team; Chaplaincy: Taaleem; Chaplaincy: The Truth Project; Chaplaincy: Video Library Religious Study; Chaplaincy: Wicca Study
Lowell Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/314,11120 NW Gainesville Rd.,Ocala,FL,34482-1479,Marion,Region 3,29.3111178,-82.19838560000001,Shellie Baker,968.0,Female,(352) 690-8900,(352) 401-5331,(352) 690-8760,shellie.baker@fdc.myflorida.com,LowellCI.WardenOffice@fdc.myflorida.com,Jessica Chapman,Jessica.Chapman@fdc.myflorida.com,(352) 690-8676,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Judson College; Academic: Special Education Services; Academic: Title I Services; Academic: Volunteer Literacy Program; Academic: Workforce Development; Vocational: Cosmetology; Vocational: Culinary Arts; Vocational: Electrical; Vocational: Equine Care Technology; Vocational: Heavy Equipment Operating; Vocational: Landscape Turf Management; Vocational: Manufacturing (Polk State College); Vocational: Persevere; Vocational: W.O.O.F. Advanced Dog Training/Handler; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character; Chaplaincy: Religious Education; Chaplaincy: Worship Services
Century Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/106,400 Tedder Road,Century,FL,32535-3659,Escambia,Region 1,30.958673,-87.29229269999999,Robert Flores,,Male,(850) 256-2600,(850) 256-2335,(850) 256-6425,robert.flores@fdc.myflorida.com,CenturyCI.WardenOffice@fdc.myflorida.com,Betty Kemp,betty.kemp@fdc.myflorida.com,(850) 256-6411,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Library Literacy Program; Academic: Technology Lab for Continued Education Post HS/GED; Vocational: HBI-Residential Carpentry/Cabinetmaking; Vocational: IN2Work - Aramark; Vocational: Northwest Florida State College; Vocational: Pensacola State College - PRIDE Tiny Homes; Vocational: Small Business Certification; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Authentic Manhood Classes; Chaplaincy: Catholic Studies/Mass; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Conflict Resolution; Chaplaincy: Discipleship; Chaplaincy: Faith and Character Based Dorm; Chaplaincy: Global Leadership Summit; Chaplaincy: Hebrew Israelites; Chaplaincy: Jehovah's Witness; Chaplaincy: Jewish/Messianic Jewish Services; Chaplaincy: Jummah/Taaleem; Chaplaincy: Kairos Weekends; Chaplaincy: Kolbe Retreat; Chaplaincy: One on One Mentoring; Chaplaincy: Pathway to Freedom; Chaplaincy: Praise Band; Chaplaincy: Religious Education; Chaplaincy: Spanish Services; Chaplaincy: Special Events; Chaplaincy: Truth About Drugs; Chaplaincy: Worship Services
"Apalachee Correctional Institution, West Unit",Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/101,52 West Unit Drive,Sneads,FL,32460-4165,Jackson,Region 1,30.712637,-84.885988,David Maddox,680.0,Male,(850) 593-9702,(850) 593-6445,(850) 593-9715,ApalacheeCI.WardenOffice@fdc.myflorida.com,ApalacheeCI.WardenOffice@fdc.myflorida.com,Jacquelyn Jeter,Jacquelyn.Jeter@fdc.myflorida.com,(850) 593-9506,8:00 a.m. - 2:00 p.m. CST,Academic: ITAED (ABE/GED); Academic: Literacy (MLP); Academic: TABE and GED3 Testing; Chaplaincy: Anger Resolution; Chaplaincy: Bill Gothard Seminars; Chaplaincy: Experiencing God; Chaplaincy: Financial Freedom; Chaplaincy: Gavel Club; Chaplaincy: MINTS Program
Bay Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/112,5400 Bayline Drive Panama,City,FL,32404-5492,Bay,Region 1,30.2667087,-85.505527,Jesse Williams,985.0,Male,(850) 769-1455,,,Jesse.Williams@mtctrains.com,,,,,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education; Academic: Aztec; Academic: General Educational Development (GED); Academic: Open Office; Academic: Paxen Buss/Focus; Academic: Reading Horizons; Academic: Typing Master Pro; Vocational: FDE Horticulture/Landscape and Turf Management; Vocational: Technology Support Services
Baker Re-Entry Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/275,17128 U.S. Highway 90 W,Sanderson,FL,32087-2359,Baker,Region 2,30.2329163,-82.3177283,Ronnie Woodall,432.0,Male,(386) 719-6300,(386) 758-5759,(386) 719-6345,ronnie.woodall@fdc.myflorida.com,BakerCI.WardenOffice@fdc.myflorida.com,,,,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Career Technical Education; Academic: General Educational Development (GED) Preparation; Academic: Inmate Teaching Assistant Program; Academic: Mandated Literacy Program; Vocational: Aramark - Food Handling & Safe Serve; Vocational: Electrical Wiring; Vocational: Industrial Credentialing Education Virtually; Vocational: PRIDE Culinary Arts; Vocational: Warehouse & Logistics; Chaplaincy: Catholic Studies; Chaplaincy: Chapel Library Program; Chaplaincy: Church Eleven 22; Chaplaincy: Christ's Church; Chaplaincy: Inside Out Dads; Chaplaincy: Operation New Hope - Ready for Work; Chaplaincy: Religious Education; Chaplaincy: Worship Services
Suwannee Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/230,5964 U.S. Highway 90 Live,Oak,FL,32060,Suwannee,Region 2,30.2401174,-82.8691292,Jared Cox,,Male,(386) 963-6530,(386) 963-6240,(386) 963-6253,jared.cox@fdc.myflorida.com,SuwanneeCI.WardenOffice@fdc.myflorida.com,Rainy Bailey,Rainy.Bailey@fdc.myflorida.com,(386) 963-6603,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (Close Management); Academic: General Educational Development (Close Management); Academic: Special Education Services (Close Management); Academic: Voluntary Literacy Program; Academic: Title I Services; Vocational: C-Tech; Vocational: Greenhouse Management; Vocational: Landscape and Turf Management; Chaplaincy: Anger Resolution Class; Chaplaincy: Chapel Library Program; Chaplaincy: Communication and Anger Management Class; Chaplaincy: New Life Behavior Classes; Chaplaincy: Parenting/Relationship Class; Chaplaincy: Personal Growth Programs; Chaplaincy: Religious Education; Chaplaincy: Religious Volunteer Program; Chaplaincy: Thinking for a Change; Chaplaincy: Victims Impact; Chaplaincy: Worship Services
Putnam Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/214,128 Yelvington Road East,Palatka,FL,32131-2100,Putnam,Region 2,29.6453569,-81.5863751,Tifani Knox,457.0,Male,(386) 326-6800,(386) 312-2219,(386) 326-6800,tifani.knoxl@fdc.myflorida.com,PutnamCI.WardenOffice@fdc.myflorida.com,Shawanda Coley,shawanda.coley@fdc.myflorida.com,(386) 562-5464,9:00 a.m. - 3:00 p.m. EST,Academic: General Educational Development (GED); Academic: Florida Hires - Warehouse and Forklift Logistics; Academic: IFAS General Farming Program; Academic: Wellness Education; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Celebration Recovery; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character; Chaplaincy: Kairos; Chaplaincy: Men of Valor; Chaplaincy: Music Program; Chaplaincy: Narcotics Anonymous; Chaplaincy: Religious Education; Chaplaincy: TBN 2nd Chance; Chaplaincy: Toastmasters; Chaplaincy: Worship Services
"Apalachee Correctional Institution, East Unit",Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/102,35 Apalachee Drive,Sneads,FL,32460-4166,Jackson,Region 1,30.7080128,-84.8775965,David Maddox,,Male,(850) 718-0688,(850) 593-6445,(850) 718-0713,ApalacheeCI.WardenOffice@fdc.myflorida.com,ApalacheeCI.WardenOffice@fdc.myflorida.com,Jacquelyn Jeter,Jacquelyn.Jeter@fdc.myflorida.com,(850) 593-9506,8:00 a.m. - 2:00 p.m. EST,Academic: Adult Basic Education; Academic: Compass 180; Academic: Compass 180 UPDATE; Academic: General Educational Development (GED); Academic: Health & Wellness; Academic: Literacy (MLP); Academic: Pre-GED & GED Testing; Academic: Workforce Ready Readiness Program; Vocational: Cabinetmaking; Chaplaincy: Anger Resolution; Chaplaincy: Bill Gothard Seminars; Chaplaincy: Experiencing God; Chaplaincy: Financial Freedom
